sample,outcome,lag,chi2,df,p,decision
full,ROA,0,9.3447,3,0.0250425,FE
full,ROA,1,18.4516,3,0.000354911,FE
full,ROA,2,19.5702,3,0.000208364,FE
full,ROA,3,25.2742,3,1.35304e-05,FE
full,NIAT,0,322.9275,3,0.0,FE
full,NIAT,1,263.5805,3,0.0,FE
full,NIAT,2,238.8653,3,0.0,FE
full,NIAT,3,224.6386,3,0.0,FE
hotels,ROA,0,55.8828,3,4.44988e-12,FE
hotels,ROA,1,7.3479,3,0.0615974,RE
hotels,ROA,2,2.6033,3,0.456909,RE
hotels,ROA,3,3.0302,3,0.38699,RE
hotels,NIAT,0,107.9286,3,0.0,FE
hotels,NIAT,1,94.8081,3,0.0,FE
hotels,NIAT,2,137.2268,3,0.0,FE
hotels,NIAT,3,137.4955,3,0.0,FE
