Period,Lag,Component,Outcome,N (obs),R2_within,coef,p,status
COVID,0,Environmental_Score,ROA,391,0.03658481965977922,0.01877255336372163,0.8179006453271347,ok
COVID,0,Environmental_Score,NIAT,392,0.14879416729358397,-23356477.680383842,0.6433892137117274,ok
COVID,0,Social_Score,ROA,443,0.021510043423044523,0.05279251734833488,0.49224240553050125,ok
COVID,0,Social_Score,NIAT,444,0.025152887905822263,-57775695.42318101,0.591040514159948,ok
COVID,0,Governance_Score,ROA,443,0.003664319323181009,-0.07244325605095547,0.32886166191574917,ok
COVID,0,Governance_Score,NIAT,444,0.05579883560409438,-299083029.13031954,0.41610035238983833,ok
COVID,1,Environmental_Score,ROA,187,,,,skipped: No objects to concatenate
COVID,1,Environmental_Score,NIAT,188,,,,skipped: No objects to concatenate
COVID,1,Social_Score,ROA,212,,,,skipped: No objects to concatenate
COVID,1,Social_Score,NIAT,213,,,,skipped: No objects to concatenate
COVID,1,Governance_Score,ROA,212,,,,skipped: No objects to concatenate
COVID,1,Governance_Score,NIAT,213,,,,skipped: No objects to concatenate
COVID,2,Environmental_Score,ROA,0,,,,skipped: too few rows
COVID,2,Environmental_Score,NIAT,0,,,,skipped: too few rows
COVID,2,Social_Score,ROA,0,,,,skipped: too few rows
COVID,2,Social_Score,NIAT,0,,,,skipped: too few rows
COVID,2,Governance_Score,ROA,0,,,,skipped: too few rows
COVID,2,Governance_Score,NIAT,0,,,,skipped: too few rows
COVID,3,Environmental_Score,ROA,0,,,,skipped: too few rows
COVID,3,Environmental_Score,NIAT,0,,,,skipped: too few rows
COVID,3,Social_Score,ROA,0,,,,skipped: too few rows
COVID,3,Social_Score,NIAT,0,,,,skipped: too few rows
COVID,3,Governance_Score,ROA,0,,,,skipped: too few rows
COVID,3,Governance_Score,NIAT,0,,,,skipped: too few rows
Non-COVID,0,Environmental_Score,ROA,1427,0.03722198279768352,-0.04978885147185345,0.03279160895122968,ok
Non-COVID,0,Environmental_Score,NIAT,1433,0.05482074701109019,35466503.501406625,0.11371606198292983,ok
Non-COVID,0,Social_Score,ROA,1656,0.048313022397658556,-0.11219279740003796,8.42774589067119e-05,ok
Non-COVID,0,Social_Score,NIAT,1662,0.05206938822057261,8347885.434008685,0.712763298479002,ok
Non-COVID,0,Governance_Score,ROA,1656,0.0003013929712969432,0.010640254095000787,0.633328504147739,ok
Non-COVID,0,Governance_Score,NIAT,1662,0.053060775542527194,25229365.398106556,0.6130344718088434,ok
Non-COVID,1,Environmental_Score,ROA,1386,0.05069176874531778,-0.05651860255909084,0.010768054620686973,ok
Non-COVID,1,Environmental_Score,NIAT,1391,0.029066674987892394,31711884.419006743,0.20211584269109828,ok
Non-COVID,1,Social_Score,ROA,1620,0.04949898970822353,-0.1076694889605423,0.0001544988935875402,ok
Non-COVID,1,Social_Score,NIAT,1625,0.0019677679238854218,6089587.636217142,0.8119696519343234,ok
Non-COVID,1,Governance_Score,ROA,1620,0.0019175621710159074,0.003683408414722067,0.8301038521687949,ok
Non-COVID,1,Governance_Score,NIAT,1625,0.0008662106184762486,-34187807.291938886,0.27844400211937526,ok
Non-COVID,2,Environmental_Score,ROA,1157,0.06059138216842619,-0.061131966517147446,0.05098548801736791,ok
Non-COVID,2,Environmental_Score,NIAT,1162,0.03315693803658626,52319814.721797906,0.138871019866174,ok
Non-COVID,2,Social_Score,ROA,1384,0.05000077727456853,-0.09971995318933721,0.00043346117326814593,ok
Non-COVID,2,Social_Score,NIAT,1389,0.0015616395725611687,18060158.298337918,0.7155367234409478,ok
Non-COVID,2,Governance_Score,ROA,1384,0.0029531307911768723,0.005670656929951596,0.7693114314598823,ok
Non-COVID,2,Governance_Score,NIAT,1389,-0.00021433584036190112,-36035717.380790435,0.1923613183138988,ok
Non-COVID,3,Environmental_Score,ROA,926,0.07731548923038101,-0.07977114299551347,0.0715043273473599,ok
Non-COVID,3,Environmental_Score,NIAT,930,0.029978811275794603,48416572.76849408,0.2772415634315901,ok
Non-COVID,3,Social_Score,ROA,1141,0.052152023212489906,-0.0860603982966457,0.0032261536758340092,ok
Non-COVID,3,Social_Score,NIAT,1146,0.007894803334077105,3549718.6233327645,0.956177817322206,ok
Non-COVID,3,Governance_Score,ROA,1141,0.00235619082520222,0.017182300801764996,0.2764963841056576,ok
Non-COVID,3,Governance_Score,NIAT,1146,0.007743814871013388,-22162081.782376077,0.12155092043156368,ok
