Subset,Outcome,Lag,N (obs),R2_within,coef_E,p_E,coef_S,p_S,coef_G,p_G,status
Full Period,ROA,0,1648,0.1040526229911527,-0.005887953675866161,0.805647204067307,-0.09807946945387357,0.005228762707215173,0.04928939013723924,0.05326533182109716,ok
Full Period,ROA,1,1605,0.11634604713850194,-0.03858799799364429,0.08984552158918269,-0.0827191383957094,0.01210924833889293,0.026003470161742537,0.1517681133085016,ok
Full Period,ROA,2,1363,0.11950922953788534,-0.021785018286288177,0.30020401254422113,-0.1055195745760258,0.001955945552636118,0.022786091516927794,0.1789307209908242,ok
Full Period,ROA,3,1171,0.10923113351839764,-0.04111007283574571,0.07305192387279824,-0.07085660272208412,0.02797720534542858,0.009337870671391194,0.5808495055066669,ok
Full Period,NIAT,0,1654,0.013585211434153033,2009507.769314641,0.8560537036265246,-15630695.341390941,0.35406087704929057,7348066.3191577485,0.6760208689998723,ok
Full Period,NIAT,1,1610,0.012926441323158788,6418250.92507053,0.5193435847056409,-14636185.96847881,0.23681662649188517,-10008248.177426511,0.4535669539743714,ok
Full Period,NIAT,2,1368,0.019151955368630014,24901107.810572024,0.3614404980757784,-19828234.078399725,0.18521951226280842,-5309322.568000673,0.6501392863346545,ok
Full Period,NIAT,3,1175,0.021379328790487095,28791317.84147261,0.4127632998723567,-18755431.749024905,0.34613983863331255,-7841706.148863364,0.38807124991752895,ok
COVID,ROA,0,322,0.0669230875182415,-0.027294047480815334,0.813628514254136,0.025883001764001656,0.8070650419354548,-0.016160453086489515,0.8160994707097715,ok
COVID,ROA,1,0,,,,,,,,no_estimable_panel
COVID,ROA,2,0,,,,,,,,no_estimable_panel
COVID,ROA,3,0,,,,,,,,no_estimable_panel
COVID,NIAT,0,322,0.04425223875190665,-25152403.629942503,0.8471206585175937,46918371.85725391,0.5279952209087764,81444767.84789577,0.36262480286517773,ok
COVID,NIAT,1,0,,,,,,,,no_estimable_panel
COVID,NIAT,2,0,,,,,,,,no_estimable_panel
COVID,NIAT,3,0,,,,,,,,no_estimable_panel
Non-COVID,ROA,0,1287,0.07090610074269343,-0.010544274496767148,0.6815235919173126,-0.11944850437255317,0.000697487268439767,0.036405935062651815,0.1694246307495879,ok
Non-COVID,ROA,1,1245,0.07655936517481365,-0.03618288428315261,0.1315448286097054,-0.09484316048479442,0.003012258677108859,0.02030054079753147,0.2511976413235064,ok
Non-COVID,ROA,2,971,0.08468216269824946,-0.047227597011991834,0.07376169532428856,-0.09122114665124861,0.0021438072728774404,0.02468531440374835,0.1342350987888279,ok
Non-COVID,ROA,3,818,0.09489371422835846,-0.08045397532717134,0.055752733487358874,-0.04630030598681427,0.15118937116955555,0.014438747250408019,0.429865944193633,ok
Non-COVID,NIAT,0,1293,0.007200641060831403,21579699.175449964,0.40079056718073436,-29746831.989333592,0.32875280189469525,-2861818.262245566,0.8896604166100406,ok
Non-COVID,NIAT,1,1250,0.0239905302548733,38562375.633094646,0.2886080930008541,-23087437.75188243,0.23393477971488363,-26096132.790687658,0.2817561432114517,ok
Non-COVID,NIAT,2,976,0.02552113175234849,42152534.23665158,0.2642658679855676,-23455763.10666787,0.14553021472953076,-21798237.304821834,0.2449126320389996,ok
Non-COVID,NIAT,3,822,0.005316371242964135,26785513.51725905,0.4552070766668814,-27488477.690888565,0.3898049893683728,-26036331.72058375,0.18516498379131474,ok
Hotels Only,ROA,0,280,0.10457394096702077,-0.020937245381927323,0.5351708568572731,-0.02353132737790163,0.6271257813395348,0.06741488432184956,0.16293832536062935,ok
Hotels Only,ROA,1,270,0.09312450956765383,-0.035611577563716704,0.2540533594633705,-0.018357406262738196,0.663675028643274,0.07034955830139537,0.11204445113398731,ok
Hotels Only,ROA,2,229,0.09977894716159774,-0.039392811857660685,0.16098236602938631,0.01797058638347664,0.6893514082669676,0.07809233189704394,0.09798277728143012,ok
Hotels Only,ROA,3,201,0.13182905534527,-0.036273110634931625,0.2499427334611981,0.024977449759200757,0.6653652637036922,0.07631606047275538,0.09013224637591222,ok
Hotels Only,NIAT,0,280,0.01609512757670173,-26526432.235954557,0.269645066882956,3822109.2437942973,0.8339082885604829,-1337569.1429938318,0.8637197522528086,ok
Hotels Only,NIAT,1,270,-0.001097168135018478,-12767588.438233279,0.5688801745245486,-12610906.31223001,0.5440632277049104,3305315.4895845307,0.819177234367491,ok
Hotels Only,NIAT,2,229,-0.039474358141335264,-25647143.914614927,0.5235784842657032,-25454391.07059318,0.25536528833775307,-7245629.890300315,0.6007236624723209,ok
Hotels Only,NIAT,3,201,-0.05486255231005721,-17883706.366062634,0.21719533512585176,-56480130.071704865,0.2969355935251088,5896365.378868987,0.6633283072409419,ok
