Company,ESG_Score
NH Hotel Group SA,79.28
Sodexo SA,78.45
Melia Hotels International SA,78.44
Minor International PCL,75.35
Yum China Holdings Inc,75.3
Starbucks Corp,75.18
Central Plaza Hotel PCL,74.93
TUI AG,74.42
Amadeus IT Group SA,74.25
Elior Group SA,73.89
Carnival Corp,73.71
InterContinental Hotels Group PLC,73.63
Whitbread PLC,73.58
Hilton Worldwide Holdings Inc,73.35
Melco Resorts & Entertainment Ltd,73.2
Scandic Hotels Group AB,73.11
Carnival PLC,73.06
Marriott International Inc,72.78
Yum! Brands Inc,72.76
Berjaya Food Bhd,72.26
McDonald's Corp,72.0
Accor SA,71.92
Nagacorp Ltd,71.68
Indian Hotels Company Ltd,71.25
Delivery Hero SE,70.86
Compass Group PLC,70.41
La Francaise des Jeux SA,66.48
Greek Organisation of Football Prognostics SA,66.08
Greggs PLC,65.91
Zomato Ltd,65.3
Asset World Corp PCL,65.18
Alsea SAB de CV,64.83
Royal Caribbean Cruises Ltd,64.2
PPHE Hotel Group Ltd,63.83
Jiumaojiu International Holdings Ltd,63.74
Jubilant Foodworks Ltd,63.17
Sands China Ltd,62.87
Kangwon Land Inc,62.64
S & P Syndicate PCL,61.77
International Game Technology PLC,61.21
Entain PLC,61.16
Berjaya Land Bhd,60.52
Marston's PLC,60.31
eDreams ODIGEO SA,59.72
Sun International Ltd,59.01
SSP Group PLC,58.46
Shangri-La Asia Ltd,58.34
Mitchells & Butlers PLC,58.06
Wendys Co,57.45
MGM Resorts International,57.3
Sphera Franchise Group SA,57.11
Domino's Pizza Enterprises Ltd,56.82
Cheesecake Factory Inc,56.6
Spur Corporation Ltd,56.47
Zen Corporation Group PCL,55.95
Chalet Hotels Ltd,55.91
Skycity Entertainment Group Ltd,55.58
Darden Restaurants Inc,55.57
S Hotels and Resorts PCL,54.93
Norwegian Cruise Line Holdings Ltd,54.52
Travel + Leisure Co,54.46
Star Entertainment Group Ltd,54.18
Tabcorp Holdings Ltd,53.55
Genting Singapore Ltd,53.28
Red Robin Gourmet Burgers Inc,52.52
Skylark Holdings Co Ltd,52.22
Westlife Foodworld Ltd,52.08
Mandarin Oriental International Ltd,51.47
Lemon Tree Hotels Ltd,51.3
Dalata Hotel Group PLC,51.21
Compagnie des Alpes SA,51.05
Vail Resorts Inc,50.99
Gourmet Master Co Ltd,50.8
Cafe De Coral Holdings Ltd,50.76
Sapphire Foods India Ltd,50.3
Playtech PLC,50.13
Domino's Pizza Group PLC,49.65
MGM China Holdings Ltd,49.57
Global Business Travel Group Inc,49.55
Arcos Dorados Holdings Inc,49.33
Papa John's International Inc,49.28
Aramark,49.22
Hyatt Hotels Corp,48.9
Las Vegas Sands Corp,48.85
Restaurant Brands International Inc,48.6
Shanghai Jin Jiang International Hotels Co Ltd,48.57
888 Holdings PLC,48.5
Betsson AB,48.16
Collins Foods Ltd,48.09
Erawan Group PCL,47.98
Boyd Gaming Corp,47.8
Marriott Vacations Worldwide Corp,47.71
Rank Group PLC,47.46
BJ's Restaurants Inc,47.44
Meituan,47.41
Haichang Ocean Park Holdings Ltd,46.4
Domino's Pizza Inc,46.35
J D Wetherspoon PLC,46.34
Wyndham Hotels & Resorts Inc,46.32
Kindred Group PLC,46.0
Jack in the Box Inc,45.94
Haidilao International Holding Ltd,45.89
Galaxy Entertainment Group Ltd,45.72
Melco International Development Ltd,45.64
Genting Malaysia Bhd,45.56
Cracker Barrel Old Country Store Inc,45.45
Revolution Bars Group PLC,45.22
Evolution AB (publ),45.14
Texas Roadhouse Inc,44.67
Just Eat Takeaway.com NV,44.54
DoorDash Inc,44.02
Oriental Land Co Ltd,43.91
City Lodge Hotels Ltd,43.9
Denny's Corp,43.82
GYM Group PLC,43.68
Wynn Macau Ltd,43.36
Hostelworld Group PLC,43.34
Brinker International Inc,42.89
Chipotle Mexican Grill Inc,42.51
Tsogo Sun Ltd,42.38
Risma SA,42.22
Caesars Entertainment Inc,42.07
Aristocrat Leisure Ltd,41.93
Sabre Corp,41.88
Genting Bhd,41.84
TORIDOLL Holdings Corp,41.57
Shake Shack Inc,41.56
Resorttrust Inc,41.46
Grupo Posadas SAB de CV,41.38
Studio City International Holdings Ltd,40.83
SJM Holdings Ltd,40.59
Choice Hotels International Inc,40.45
Lottery Corporation Ltd,40.28
Grupo Sports World SAB de CV,40.27
Mahindra Holidays and Resorts India Ltd,40.25
Wynn Resorts Ltd,39.54
Bloomberry Resorts Corp,39.33
Barbeque-Nation Hospitality Ltd,39.32
TravelSky Technology Ltd,39.2
Sats ASA,39.16
Abu Dhabi National Hotels Co PJSC,39.11
United Parks & Resorts Inc,38.77
Tongcheng Travel Holdings Ltd,38.75
Jumbo Interactive Ltd,38.66
Restaurant Brands New Zealand Ltd,38.54
Southern Sun Ltd,38.3
Imperial Pacific International Holdings Ltd,38.02
Everi Holdings Inc,37.84
Gaming Innovation Group Inc,37.41
BTG Hotels Group Co Ltd,37.14
Fuller Smith & Turner PLC,37.11
Smartfit Escola de Ginastica e Danca SA,37.01
Hollywood Bowl Group PLC,36.57
Dave & Buster's Entertainment Inc,36.47
Thomas Cook (India) Ltd,36.22
Sweetgreen Inc,36.2
Super Hi International Holding Ltd,36.14
Zensho Holdings Co Ltd,36.07
Famous Brands Ltd,36.06
H World Group Ltd,35.98
Krispy Kreme Inc,35.91
Full House Resorts Inc,35.69
Easy Trip Planners Ltd,35.51
Noodles & Co,35.5
Bloomin' Brands Inc,35.41
On The Beach Group PLC,35.36
Corporate Travel Management Ltd,35.16
Life Time Group Holdings Inc,35.04
Food & Life Companies Ltd,34.71
DPC Dash Ltd,34.64
Lastminute.com NV,34.6
Restaurant Brands Asia Ltd,34.43
Playa Hotels & Resorts NV,34.31
Flutter Entertainment PLC,34.18
Dine Brands Global Inc,34.11
India Tourism Development Corp Ltd,34.07
Hotel Properties Ltd,34.01
Deliveroo PLC,33.89
Basic Fit NV,33.83
SkiStar AB,33.73
PENN Entertainment Inc,32.9
Magnum Bhd,32.81
Coast Entertainment Holdings Ltd,32.63
Hilton Grand Vacations Inc,32.51
Inspired Entertainment Inc,32.39
Airbnb Inc,31.97
Portillos Inc,31.9
McDonald's Holdings Company Japan Ltd,31.74
Acroud AB,31.65
Chuy's Holdings Inc,31.41
National Corp for Tourism and Hotels,31.33
EIH Ltd,30.68
Delta Corp Ltd,30.4
Trainline PLC,30.32
Potbelly Corp,30.3
Booking Holdings Inc,30.2
China Travel International Investment Hong Kong Ltd,30.19
Wingstop Inc,29.82
Songcheng Performance Development Co Ltd,29.63
RGB International Bhd,29.59
Six Flags Entertainment Corp,29.53
Vacasa Inc,28.8
Inspirato Inc,28.58
Flight Centre Travel Group Ltd,28.38
Loungers PLC,27.73
Planet Fitness Inc,27.54
SGHC Ltd,27.38
El Pollo Loco Holdings Inc,27.32
Jollibee Foods Corp,27.32
First Watch Restaurant Group Inc,27.09
Ainsworth Game Technology Ltd,26.75
Americana Restaurants International PLC,26.26
Young & Co's Brewery PLC,26.2
Despegar.com Corp,26.19
MTY Food Group Inc,26.05
Yatra Online Inc,25.91
Churchill Downs Inc,25.7
Tuniu Corp,25.48
Nexteq PLC,25.45
Sonder Holdings Inc,25.18
Pollard Banknote Ltd,25.03
Pointsbet Holdings Ltd,24.91
Viking Line Abp,24.68
Sports Toto Bhd,24.63
Webjet Ltd,24.63
Devyani International Ltd,24.59
Bally's Corp,24.54
Betmakers Technology Group Ltd,24.44
H.I.S. Co Ltd,24.31
Enjoy SA,23.53
Expedia Group Inc,23.18
Formosa International Hotels Corp,22.51
Kura Sushi USA Inc,22.41
Cedar Fair LP,22.29
Gulf Hotel Group BSC,22.22
Trip.com Group Ltd,22.21
Red Rock Resorts Inc,21.91
Carrols Restaurant Group Inc,21.69
CAVA Group Inc,21.47
Light & Wonder Inc,21.46
Retail Food Group Ltd,21.14
MakeMyTrip Ltd,20.99
Lindblad Expeditions Holdings Inc,20.96
Gan Ltd,20.32
Raketech Group Holding PLC,20.28
Century Casinos Inc,20.28
Accel Entertainment Inc,20.24
Orascom Development Holding AG,19.94
Monarch Casino & Resort Inc,19.68
Target Hospitality Corp,19.6
Dutch Bros Inc,18.89
Hall of Fame Resort & Entertainment Co,18.87
Golden Entertainment Inc,18.36
Kambi Group PLC,18.18
Drive Shack Inc,18.14
bet at home com AG,18.03
CVC Brasil Operadora e Agencia de Viagens SA,17.81
Leejam Sports Company SJSC,17.55
Waitr Holdings Inc,16.6
Zamp SA,15.89
Mondee Holdings Inc,15.86
Grand Parade Investments Ltd,14.85
PlayAGS Inc,14.64
Nathan's Famous Inc,14.55
One Group Hospitality Inc,14.45
Draftkings Inc,14.25
Luckin Coffee Inc,14.14
Kyoritsu Maintenance Co Ltd,13.95
Pizza Pizza Royalty Corp,13.89
NoHo Partners Oyj,13.11
RCI Hospitality Holdings Inc,13.01
Xponential Fitness Inc,12.5
TWC Enterprises Ltd,12.25
Bowlero Corp,12.19
Paradise Co Ltd,11.97
Heiwa Corp,11.57
Donaco International Ltd,11.39
Various Eateries PLC,11.38
Technical Olympic SA,10.78
Seera Holding Group SJSC,10.57
GreenTree Hospitality Group Ltd,10.23
Biglari Holdings Inc,9.93
Boston Pizza Royalties Income Fund,9.76
Ebet Inc,9.15
Round One Corp,8.82
A and W Revenue Royalties Income Fund,8.39
Rush Street Interactive Inc,8.25
Daniel Thwaites PLC,8.14
Fuji Kyuko Co Ltd,7.76
Tivoli A/S,5.63
Meritage Hospitality Group Inc,5.41
